idx,tag,url
199500,썸 탈꺼야,http://www.melon.com/song/detail.htm?songId=30657307
199000,나의 사춘기에게,http://www.melon.com/song/detail.htm?songId=30657311
198500,시차 (We Are) (Feat. 로꼬 & GRAY),http://www.melon.com/song/detail.htm?songId=30613202
198000,좋니,http://www.melon.com/song/detail.htm?songId=30486509
47525,가을 아침,http://www.melon.com/song/detail.htm?songId=30636089
47036,Blue,http://www.melon.com/song/detail.htm?songId=30657308
46549,DNA,http://www.melon.com/song/detail.htm?songId=30637982
46064,가시나,http://www.melon.com/song/detail.htm?songId=30587846
45581,잠 못 드는 밤 비는 내리고,http://www.melon.com/song/detail.htm?songId=30646585
45100,all of my life,http://www.melon.com/song/detail.htm?songId=30550388
44621,비도 오고 그래서 (Feat. 신용재),http://www.melon.com/song/detail.htm?songId=30492279
44144,봄날,http://www.melon.com/song/detail.htm?songId=30244931
43669,Best Of Me,http://www.melon.com/song/detail.htm?songId=30637983
43196,고쳐주세요,http://www.melon.com/song/detail.htm?songId=30657309
42725,에너제틱 (Energetic),http://www.melon.com/song/detail.htm?songId=30568338
42256,매일 듣는 노래 (A Daily Song),http://www.melon.com/song/detail.htm?songId=30467550
41789,밤편지,http://www.melon.com/song/detail.htm?songId=30314784
41324,고민보다 Go,http://www.melon.com/song/detail.htm?songId=30637988
40861,상상,http://www.melon.com/song/detail.htm?songId=30657310
40400,빨간 맛 (Red Flavor),http://www.melon.com/song/detail.htm?songId=30512671
39941,Shape of You,http://www.melon.com/song/detail.htm?songId=30188113
39484,마지막처럼,http://www.melon.com/song/detail.htm?songId=30481578
39029,선물,http://www.melon.com/song/detail.htm?songId=30514366
38576,MIC Drop,http://www.melon.com/song/detail.htm?songId=30637987
38125,보조개,http://www.melon.com/song/detail.htm?songId=30637984
37676,Pied Piper,http://www.melon.com/song/detail.htm?songId=30637985
37229,남이 될 수 있을까,http://www.melon.com/song/detail.htm?songId=30468654
36784,피 땀 눈물,http://www.melon.com/song/detail.htm?songId=30029173
36341,비밀의 화원,http://www.melon.com/song/detail.htm?songId=30646584
35900,널 너무 모르고,http://www.melon.com/song/detail.htm?songId=30492276
35461,사랑하지 않은 것처럼,http://www.melon.com/song/detail.htm?songId=30550293
35024,N분의1 (Feat. 다이나믹듀오),http://www.melon.com/song/detail.htm?songId=30566061
34589,"Red Sun (Feat. ZICO, Swings)",http://www.melon.com/song/detail.htm?songId=30601121
34156,Intro : Serendipity,http://www.melon.com/song/detail.htm?songId=30637981
33725,베베 (BABE),http://www.melon.com/song/detail.htm?songId=30605241
33296,Ko Ko Bop,http://www.melon.com/song/detail.htm?songId=30529996
32869,"요즘것들 (Feat. ZICO, DEAN)",http://www.melon.com/song/detail.htm?songId=30566064
32444,그림자,http://www.melon.com/song/detail.htm?songId=30660684
32021,Outro : Her,http://www.melon.com/song/detail.htm?songId=30637989
31600,Artist,http://www.melon.com/song/detail.htm?songId=30519033
31181,처음부터 너와 나,http://www.melon.com/song/detail.htm?songId=30414090
30764,Perhaps Love (사랑인가요) (Prod.By 박근태),http://www.melon.com/song/detail.htm?songId=30660281
30349,팔레트 (Feat. G-DRAGON),http://www.melon.com/song/detail.htm?songId=30378156
29936,Power,http://www.melon.com/song/detail.htm?songId=30616684
29525,"무제(無題) (Untitled, 2014)",http://www.melon.com/song/detail.htm?songId=30461396
29116,첫눈처럼 너에게 가겠다,http://www.melon.com/song/detail.htm?songId=30190630
28709,좋겠다,http://www.melon.com/song/detail.htm?songId=30660180
28304,어젯밤 이야기,http://www.melon.com/song/detail.htm?songId=30646586
27901,있다면,http://www.melon.com/song/detail.htm?songId=30543235
27500,매일 그대와,http://www.melon.com/song/detail.htm?songId=30646588
